IsUsed,VarName,Type
1,gpsLat,gps
1,gpsLon,gps
1,COG,angle360
1,BSP,number
1,Tgt_BSP,number
1,Tgt_VMG,number
1,SOG,number
1,TWA,angle180
1,TWD,angle360
1,TWS,number
1,HDG,angle360
1,Heel,number
1,Heel_n,number
1,Trim,number
1,Tgt_Trim,number
1,Rudder_Angle,number
1,Rudder_Rake,number
1,Rudder_Draft,number
1,FoilPort_Cant,number
1,FoilStbd_Cant,number
1,FoilPort_Sink,number
1,FoilStbd_Sink,number
1,Tgt_FoilPort_Sink,number
1,Tgt_FoilStbd_Sink,number
1,FoilPort_FlapAngle,number
1,FoilStbd_FlapAngle,number
1,MainSheetLoad,number
1,Tgt_MainSheet,number
1,JibSheetLoad,number
1,Tgt_JibSheetLoad,number
1,Tgt_MainTraveller_n,number
1,MainTraveller,number
1,Leeway,number
0,AverageClewPC,number
0,Tgt_Clew,number
0,TidalCurrent_Direction,number
0,TidalCurrent_Speed,number
1,AWA_bow,angle180
1,AWS,number
1,MhuOffsBow,number
